name,writer,rate,plot,lang,char,setting,litery award,link
The Name of the Rose,Umberto Eco,4.12,,English,"Berengar of Arundel,Venantius of Salvemec,Jorge of Burgos,Remigio of Varagine,Salvatore of Montferrat,Nicholas of Morimondo,Ubertino of Casale,Bernard Gui,Benno of Uppsala,Alinardo of Grottaferrata,Michael of Cesena",Italian Benedictine monastery,"إمبيرتو,Premio Strega (1981),Los Angeles Times Book Prize Nominee for Fiction (1983),Edgar Award Nominee for Best Novel (1984),PEN Translation Prize for William Weaver (1984),Premio Anghiari (1981),Premio Il Libro dell'anno (1981),Prix Médicis Etranger (1982),このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1991)",https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose
Charlie and the Chocolate Factory,Roald Dahl,4.14,Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!,English,"Mike Teavee,Grandpa Joe",,"Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992),North Dakota Children's Choice Award (1985)",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
The Outsiders,S.E. Hinton,4.10," is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and h",,"Keith ""Two-Bit"" Matthews,Steve Randle,Sherri ""Cherry"" Valance,Curly Shepard,Tim Shepard",,"Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991),Margaret A. Edwards Award (1988)",https://www.goodreads.com/book/show/231804.The_Outsiders
The Sun Also Rises,Ernest Hemingway,3.82,"The quintessential novel of the Lost Generation, ",,"Pedro Romero,...less,Madrid",,,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of ",,Slartibartifast,,,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Good Earth,Pearl S. Buck,3.99,"This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.",English,,,"Pulitzer Prize for Novel (1932),William Dean Howells Medal (1935)",https://www.goodreads.com/book/show/1078.The_Good_Earth
A Confederacy of Dunces,John Kennedy Toole,3.89,"Meet Ignatius J. Reilly, the hero of John Kennedy Toole's tragicomic tale, ",English,"Lana Lee,Burma Jones","New Orleans, Louisiana","Pulitzer Prize for Fiction (1981),PEN/Faulkner Award for Fiction Nominee (1981),Los Angeles Times Book Prize Nominee for Fiction (1980)",https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces
Angela's Ashes,Frank McCourt,4.11,Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,English,,,"Pulitzer Prize for Biography or Autobiography (1997),American Booksellers Book Of The Year  Award for Adult Trade (1997),Audie Award for Nonfiction, Abridged (1997),Los Angeles Times Book Prize for Biography (1996),Exclusive Books Boeke Prize (1997),National Book Critics Circle Award for Biography/Autobiography (1996)",https://www.goodreads.com/book/show/252577.Angela_s_Ashes
All Quiet on the Western Front,Erich Maria Remarque,3.98,One by one the boys begin to fall…,English,Fredrich Müller,,Luisterboek Award Nominee (2015),https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
On the Road,Jack Kerouac,3.62,,English,,,Grammy Award Nominee for Best Spoken Word Album (2001),https://www.goodreads.com/book/show/70401.On_the_Road
